Product ID,avg_torque,avg_speed,max_tool_wear,cluster
H29424,23.9,1782.0,24,1
H29425,44.3,1423.0,29,2
H29432,54.5,1306.0,50,2
H29434,42.7,1375.0,58,2
H29441,24.6,1811.0,77,1
H29452,50.7,1379.0,106,2
H29457,48.5,1372.0,120,0
H29462,53.9,1425.0,135,0
H29466,43.8,1497.0,147,0
H29481,44.1,1466.0,184,0
H29494,49.9,1445.0,4,2
H29500,43.9,1436.0,20,2
H29522,32.7,1621.0,75,1
H29525,43.5,1499.0,84,2
H29550,45.7,1420.0,143,0
H29552,49.4,1449.0,150,0
H29557,50.5,1407.0,164,0
H29560,36.1,1612.0,174,0
H29569,19.8,1987.0,198,1
H29571,43.5,1478.0,206,0
H29580,32.6,1612.0,10,2
H29581,42.9,1458.0,15,2
H29595,24.2,1824.0,49,1
H29606,51.8,1398.0,76,2
H29607,34.6,1678.0,81,1
H29610,49.5,1432.0,91,2
H29626,52.9,1344.0,130,0
H29635,24.3,1827.0,153,1
H29680,43.7,1440.0,37,2
H29682,24.8,1800.0,44,1
H29684,39.6,1520.0,51,2
H29691,50.7,1479.0,70,2
H29702,42.2,1385.0,98,2
H29707,44.8,1392.0,111,0
H29712,18.7,2129.0,126,1
H29716,35.1,1512.0,138,0
H29724,41.8,1526.0,160,0
H29734,38.2,1550.0,185,0
H29742,31.4,1703.0,205,1
H29743,29.9,1720.0,210,1
H29764,44.3,1400.0,43,2
H29767,30.0,1674.0,54,1
H29776,30.9,1640.0,79,1
H29783,36.1,1587.0,98,2
H29812,43.6,1502.0,169,0
H29855,46.6,1393.0,56,2
H29857,45.1,1469.0,63,2
H29865,46.1,1440.0,84,2
H29870,47.6,1478.0,98,2
H29874,42.0,1431.0,109,2
H29884,44.2,1499.0,134,0
H29885,42.4,1419.0,139,0
H29891,41.4,1468.0,156,0
H29909,49.7,1459.0,201,0
H29921,48.2,1445.0,10,2
H29949,52.4,1365.0,76,2
H29951,43.0,1516.0,83,2
H29957,36.1,1563.0,100,2
H29968,45.3,1368.0,129,0
H29978,32.1,1669.0,155,1
H29979,35.8,1570.0,160,0
H29990,51.1,1440.0,191,0
H29997,32.2,1697.0,210,1
H29998,48.2,1419.0,215,0
H30001,33.1,1623.0,224,0
H30005,41.7,1525.0,235,0
H30006,27.9,1668.0,240,1
H30008,50.4,1278.0,2,2
H30011,46.6,1428.0,13,2
H30013,31.1,1616.0,20,1
H30030,29.1,1686.0,60,1
H30032,44.2,1433.0,68,2
H30038,37.6,1509.0,85,2
H30046,47.1,1419.0,105,2
H30058,30.2,1608.0,135,1
H30062,48.9,1400.0,147,0
H30083,37.7,1471.0,197,0
H30090,34.7,1577.0,5,2
H30096,48.8,1410.0,23,2
H30102,26.4,1735.0,41,1
H30103,55.6,1354.0,46,2
H30104,40.2,1413.0,51,2
H30113,39.2,1416.0,74,2
H30117,40.9,1479.0,87,2
H30130,45.8,1420.0,120,0
H30141,37.6,1499.0,147,0
H30148,54.6,1305.0,168,0
H30151,39.2,1474.0,177,0
H30162,46.3,1528.0,203,0
H30169,43.7,1492.0,222,0
H30185,58.6,1311.0,19,2
H30186,51.0,1453.0,24,2
H30197,33.4,1579.0,50,2
H30208,32.6,1547.0,79,2
H30217,37.8,1549.0,104,2
H30248,50.2,1333.0,177,0
H30252,41.5,1406.0,189,0
H30263,35.5,1586.0,0,2
H30273,40.6,1542.0,28,2
H30274,32.6,1541.0,33,2
H30276,31.0,1645.0,41,1
H30281,33.2,1594.0,55,2
H30301,16.5,2161.0,105,1
H30313,55.3,1329.0,135,0
H30315,62.3,1256.0,142,0
H30318,49.8,1458.0,151,0
H30335,37.2,1593.0,197,0
H30339,30.9,1623.0,210,0
H30341,52.4,1396.0,0,2
H30365,35.8,1509.0,60,2
H30368,42.5,1414.0,69,2
H30370,32.2,1632.0,76,1
H30400,32.5,1638.0,146,1
H30402,25.9,1774.0,154,1
H30418,42.0,1424.0,196,0
H30447,38.0,1556.0,62,2
H30451,35.1,1596.0,75,2
H30459,52.8,1403.0,94,2
H30468,30.5,1627.0,117,1
H30474,53.8,1424.0,133,0
H30489,54.5,1345.0,172,0
H30492,30.8,1656.0,181,1
H30496,39.8,1420.0,192,0
H30501,35.8,1549.0,206,0
H30511,48.3,1397.0,22,2
H30514,30.0,1695.0,33,1
H30515,33.6,1607.0,38,2
H30525,49.2,1432.0,64,2
H30528,37.4,1540.0,75,2
H30534,31.0,1654.0,91,1
H30537,62.3,1386.0,100,2
H30567,45.6,1448.0,172,0
H30569,27.3,1846.0,179,1
H30570,40.7,1404.0,184,0
H30574,23.8,1834.0,195,1
H30585,41.4,1517.0,222,0
H30587,38.8,1559.0,229,0
H30594,35.6,1531.0,16,2
H30612,36.5,1557.0,63,2
H30617,47.6,1410.0,79,2
H30620,53.5,1318.0,88,2
H30623,13.3,2540.0,98,1
H30625,46.9,1416.0,105,2
H30639,41.5,1492.0,141,0
H30648,14.0,2440.0,166,1
H30649,31.4,1654.0,171,1
H30650,46.6,1359.0,176,0
H30653,39.3,1482.0,187,0
H30660,33.3,1653.0,207,0
H30668,49.4,1430.0,2,2
H30669,50.7,1419.0,7,2
H30675,25.2,1885.0,24,1
H30676,33.0,1648.0,29,1
H30685,40.5,1490.0,53,2
H30686,38.1,1562.0,58,2
H30688,40.2,1530.0,65,2
H30694,37.1,1521.0,84,2
H30695,54.3,1427.0,89,2
H30707,33.4,1582.0,121,1
H30736,49.9,1452.0,187,0
H30739,36.8,1567.0,197,0
H30743,30.4,1663.0,209,1
H30745,26.8,1771.0,216,1
H30751,36.0,1613.0,0,2
H30774,27.6,1707.0,56,1
H30782,27.1,1708.0,78,1
H30792,44.9,1455.0,107,2
H30802,45.3,1491.0,133,0
H30814,62.7,1366.0,161,0
H30815,37.7,1532.0,166,0
H30849,42.1,1526.0,30,2
H30850,44.2,1510.0,35,2
H30851,45.2,1439.0,40,2
H30863,30.8,1677.0,73,1
H30909,44.6,1383.0,184,0
H30926,36.3,1503.0,5,2
H30932,55.7,1371.0,23,2
H30936,37.7,1562.0,36,2
H30941,44.5,1425.0,49,2
H30945,41.4,1438.0,60,2
H30970,47.1,1398.0,122,0
H30996,42.0,1530.0,184,0
H31016,33.5,1600.0,13,2
H31030,30.7,1662.0,48,1
H31036,38.3,1538.0,63,2
H31048,58.5,1406.0,93,2
H31056,35.4,1588.0,114,1
H31063,37.8,1482.0,132,0
H31066,34.0,1635.0,142,1
H31072,35.3,1570.0,159,0
H31076,45.5,1462.0,171,0
H31079,39.7,1491.0,181,0
H31090,43.0,1418.0,207,0
H31096,36.1,1604.0,225,0
H31100,28.7,1663.0,7,1
H31107,27.8,1683.0,26,1
H31146,28.2,1700.0,120,1
H31152,21.4,1948.0,136,1
H31153,54.2,1260.0,141,0
H31162,31.1,1626.0,166,1
H31173,35.2,1606.0,195,0
H31176,48.6,1460.0,204,0
H31178,55.7,1318.0,0,2
H31184,31.0,1605.0,18,2
H31191,36.8,1555.0,36,2
H31197,41.0,1553.0,52,2
H31210,37.1,1542.0,84,2
H31216,44.1,1496.0,104,2
H31219,56.2,1376.0,113,0
H31220,32.2,1593.0,118,1
H31240,40.1,1516.0,166,0
H31249,35.8,1555.0,190,0
H31256,22.5,1855.0,7,1
H31260,38.6,1514.0,19,2
H31262,44.1,1429.0,26,2
H31269,62.8,1249.0,47,2
H31303,40.2,1432.0,132,0
H31308,23.3,1880.0,146,1
H31314,36.0,1493.0,161,0
H31324,36.8,1547.0,186,0
H31341,47.8,1314.0,19,2
H31371,35.9,1618.0,92,1
H31372,43.2,1464.0,97,2
H31383,31.3,1631.0,124,1
H31393,45.8,1420.0,150,0
H31402,39.2,1420.0,176,0
H31412,30.8,1637.0,2,1
H31434,33.3,1560.0,53,2
H31447,47.6,1359.0,85,2
H31451,19.9,1940.0,98,1
H31473,44.4,1386.0,154,0
H31483,41.0,1553.0,179,0
H31496,36.1,1513.0,212,0
H31497,28.2,1743.0,0,1
H31500,49.7,1439.0,9,2
H31522,51.7,1415.0,62,2
H31524,35.0,1508.0,70,2
H31528,44.1,1373.0,81,2
H31531,29.3,1762.0,91,1
H31532,43.0,1429.0,96,2
H31534,21.3,1908.0,104,1
H31541,40.6,1425.0,123,0
H31543,33.7,1607.0,130,1
H31547,29.7,1732.0,141,1
H31564,35.5,1636.0,180,0
H31567,45.4,1397.0,191,0
H31581,41.3,1588.0,0,2
H31594,36.3,1597.0,35,2
H31595,44.3,1548.0,40,2
H31603,41.6,1554.0,62,2
H31622,42.6,1435.0,111,0
